TEAM_ABBREVIATION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,GAME_TIMESTAMP,WEIGHTS,PLAYER_ID,W,L,PCT,CONF_RANK,DIV_RANK
ATL,19.533472925105304,3.2044919388468864,7.418481051524488,0.38403416968405313,1.0323318080906243,3.1304067067506347,0.21968923603815066,1.4523072841928055,1.823699750602095,0.3783688924994455,0.9340918715845064,2.654158641895491,3.5882505134799976,2.2529390721620635,1.1496504863850492,0.6297162233746301,0.3740645191939297,0.5019765174068732,1.4994033892359664,1.4863765916149396,8.893622969977203,-1.6482877476196787,18.440623935716925,0.10705560995070773,0.00232358818068945,17.774705848847006,1.0,4796.678386243629,4796.678386243629,4796.678386243629,9599.918686762288,8632.511384643474,8880.474220659087,8609.045296067678,6159.373777479037,7515.5903638439395,6583.106354731497,6144.308618131934,6423.454899367067,5987.862573916476,5866.949086771716,8255.147414694256,8516.290641825051,7970.440890980091,6842.285327355821,5496.239253561994,4278.352012980797,3781.3486964052945,4835.023617995848,7379.559114642255,9029.14331156742,8471.020682085087,9667.309712383489,1235.428655028652,86.92376552223136,9494.554391508811,1.0,1721342814.3398438,0.05828705247186193,1417756.9,14,13,0.519,7,3
BOS,19.552107955323912,3.212365444093473,7.0423396880702835,0.36645237430193706,1.3562701369207035,3.7697251915503855,0.23200908876609874,1.3715922241259682,1.7383517019653705,0.3452184325053158,0.8994881014523008,2.8244241909573056,3.723912292409606,1.960113182922237,0.9380827047789213,0.6117882789148067,0.4968131213602004,0.3078485220851055,1.3819785512273632,1.5305366575280694,9.152593249233616,3.5587051449086875,18.949179270554602,0.04872202119634702,0.00039170112869358893,18.41009166203618,1.0,1300.7888701219906,1300.7888701219906,1300.7888701219906,7193.653331446367,6465.009185444688,6948.424389328682,6442.786857109301,4553.206365665932,5656.873948168059,5064.673279734228,4828.611993833492,5006.069934974393,4727.1857442967175,4222.180039957991,5823.419586783939,5878.22434547115,5870.80690059748,5356.181883238223,4179.42933008831,3055.5928440247912,2142.7924584985053,3970.869563978001,5585.357723454796,6747.5714478187965,4920.828930421489,6942.290066014657,1004.3109239565731,70.7027090416284,6864.943741021244,1.0,1725953374.4247415,0.06016458869676571,1393070.0555555555,20,5,0.8,2,1
CLE,18.17999052669002,3.055259980795295,6.378367940767609,0.40080322708619437,1.0897982415131706,2.8765251654688893,0.2362715448667197,1.060937327933095,1.4307825676135502,0.31356677182991716,0.7012411772986227,2.452341710148697,3.15358288744732,2.0112522423814427,0.9265156187940733,0.596279153368925,0.32817990855422824,0.3577435174274778,1.369907465913734,1.2996186574410566,8.261255531036856,1.6022544215231602,16.90929492652119,0.07148280787482901,0.00146469248334903,16.364807026225094,1.0,3184.7132077940823,3184.7132077940823,3184.7132077940823,9853.50626591897,8634.466671027587,9273.56418253549,8266.770524857564,6142.780158231406,7902.532648642666,6501.977966976107,6499.6188180007,6674.712426024809,6218.398317007483,6089.490440799687,8406.238622299767,8820.420307946193,7775.110486786539,6759.445247023764,5475.149989405939,4252.83229179393,2728.0518281207296,4425.786512646336,7397.072286754684,9133.847541568084,7619.3836722528895,9857.532656836986,1245.0829527351048,85.13621670564225,9670.726205891759,1.0235269845918336,1722151585.2984486,0.05318300953524228,1488701.7,22,4,0.846,1,1
NOP,18.546848664046394,3.279634510542756,7.241495771940758,0.36374504890817844,0.8328048353704987,2.4752598142498208,0.1746077193023023,1.221603021759284,1.5920115587027437,0.3465679103964798,1.002917379902332,2.3669230512002124,3.3698404311025443,1.9810736133009255,1.121883886400288,0.7278166011404784,0.377844817510502,0.5304971905668413,1.3829785969845392,1.3569706096029859,8.613676878215294,-1.747407741470046,17.82419618504239,0.052325598745945695,0.00014507029130325218,17.008718595291224,1.0,3700.45801318616,3700.45801318616,3700.45801318616,9717.421958365363,8485.792175609598,8702.937676879068,8523.738011615076,6683.103700572158,8446.531291737456,6904.297967000387,6052.744608053136,6314.435268380405,5840.525341506826,5298.058347822436,8116.422337010212,8222.147086117098,7721.240555102258,6674.176651194805,5179.647946413607,4054.727340103494,4176.417365429833,4032.882575862627,7309.038746171446,9004.730506619164,7264.9575917468055,9488.968711915557,1223.5423944248644,82.82030913700524,9429.878615521815,1.0025832826066614,1722066130.1606803,0.19005031705115677,1383499.7391304348,5,21,0.192,15,5
CHI,18.65059293578637,3.0506210366512847,6.609650813849818,0.3852873861358239,1.0243606047239624,2.866309454014325,0.23928136339627906,1.18033418655792,1.4801714851251684,0.3424127196729992,0.7611304936700195,2.4347555738945936,3.1958860675646132,1.8063549083324861,0.9690977922483454,0.7231488445576433,0.37448712932880224,0.37429123684013565,1.460407954446786,1.2386343934911803,8.305936864584451,-1.0220578928039532,17.17434263757171,0.0491386311472149,0.0018390137048269548,16.527810392978402,1.0,3844.607105584266,3844.607105584266,3844.607105584266,9150.967655454777,8199.71642146502,8677.918604838538,7749.964134445853,5871.9319858626495,7369.048521914822,6047.723751829967,5906.474458826033,6145.415128368438,5675.382968716652,5537.360768071969,7936.955485406732,8228.77751363135,7415.985325142843,6296.8229282605025,4804.008415326294,3747.465500448173,2736.913165413759,4352.9919371334245,7107.079246182706,8628.827580394513,7116.606685030679,9089.547883483594,1151.954403187494,79.03861657419634,9006.318357497761,1.0,1724181563.9926445,0.0662294609122663,1347355.45,11,15,0.423,9,4
DAL,17.127816890682066,2.908414999040553,6.035150837065652,0.40443418158723893,0.8461656461660614,2.329292968899025,0.20643361262601284,1.1360290600243297,1.5475686266029978,0.3202368871410086,0.8041144370305939,2.395134453404549,3.1992488904351433,1.6631544899314696,0.9473335845626899,0.5482467814243329,0.41140021435114466,0.3300105481090828,1.3841545247433213,1.3587989063513672,7.799024704271497,0.3656474760358883,16.064462510454618,0.058713444218743804,0.00883406174861011,15.426887722355128,1.0,3410.6437270951865,3410.6437270951865,3410.6437270951865,10309.589103764094,8806.310026883977,9614.019025841499,7812.7490063702135,6650.024024552095,8542.078633827768,6715.191494605819,6314.162583117735,6435.427728190638,6245.3589322056005,5795.134813938892,8396.832244546715,8625.609054420258,8199.918137899916,6676.06530623781,5731.797503903039,4096.792556794346,2710.9617103381206,4241.817991090079,7236.8471480877515,9361.66546764888,7590.343247322706,10038.981914796805,1249.8669798482492,84.17557667290882,9928.64020172563,1.0154333547785204,1721694490.9392128,0.0755202996809696,1276109.75,16,9,0.64,4,3
DEN,16.505166735591875,2.8098312661128793,5.657712989988408,0.39901739329889613,0.8458219509313242,2.218797178127913,0.2616182067368691,1.0633847304554305,1.3878757109629252,0.3034882870781614,0.6600430443502182,2.1528452920784678,2.812888336428686,1.7746131204512086,0.809092830390134,0.5892682906557878,0.3507303019898944,0.30153426143253687,1.2687161556262851,1.1942573223132045,7.528869213612514,1.5281043522720503,15.577157845550662,0.059093805419101475,0.01922968675979674,14.842189806715098,1.0,2312.8569857510106,2312.8569857510106,2312.8569857510106,8483.76667051037,7413.75395482659,8149.048817919245,6426.70879648597,5350.013520259735,7094.644563546891,5180.3345998833165,5349.632862825587,5569.575820933624,5132.525312166683,5214.821210004354,7270.9561412966605,7687.718499364197,6629.561872597422,5936.090286887821,4484.906539801764,3483.25603716966,2067.304047254389,3717.347578796434,6394.550667538626,7832.801254417334,5871.970097646815,8396.174405385585,1033.191355393068,71.75865932704761,8317.142342301106,1.0,1725331574.7358105,0.08883314247970808,1224634.7142857143,13,10,0.565,6,2
GSW,15.971650463606016,2.662577057158187,5.942475047318612,0.3878620758700749,0.9297705836486885,2.6348112469321814,0.19593493067210327,0.9890375273019428,1.3486127699056099,0.31619873941903487,0.8941702802205006,2.2816503156364463,3.1758205958569468,2.1484146044570682,0.9857871121386864,0.5880194899616518,0.3393281807846364,0.38664348162423146,1.2514604271054897,1.1713351081526646,7.243962225267005,1.0163207697305352,16.073824747081122,0.040459180842953156,0.00021810275069282634,15.352663350722286,1.0,2366.973893706202,2366.973893706202,2366.973893706202,9085.065995309875,7664.173326262754,8202.771021609151,7215.683900499736,5634.3545644997,7220.234021977708,5847.143431675906,5499.451036153265,5667.4745284948385,5206.984270693461,4802.435890605161,7198.99415583847,7262.839729857893,6528.276667685372,5669.508677217086,4751.891705303981,3493.4836209734226,2658.3028191679605,3624.333456787591,6394.065494385424,8109.878763773561,6138.776300658003,8409.995258942472,1090.22188494591,74.69216538198242,8343.761914280913,1.00303552915205,1724933330.9235954,0.0764774665941892,1100039.1578947369,14,10,0.583,5,1
HOU,16.133873407465906,2.701408917278301,6.06752541918962,0.39161317988931815,0.7658475215951432,2.368380871241346,0.2090996418461717,1.154983055400624,1.5555774813845757,0.3288475229846589,0.9371228407406846,2.4174651906200646,3.3545880313607492,1.4491670024205,0.828243972376644,0.5657506112836731,0.36348173811168555,0.41989742285720133,1.359042590429487,1.3072075658732216,7.3236484115523695,1.3452467604468903,15.48235762862545,0.06674562144840908,0.005744838293075176,14.751715665719479,1.0,2988.898121000974,2988.898121000974,2988.898121000974,10252.22507581478,8652.635211489147,9323.302216644575,7656.809284070472,6458.555648265338,8344.142107712889,6439.196212637496,5961.626551207898,6136.204719658019,5791.627311740511,5383.005594680755,7920.879256918606,8120.245101835147,8213.62781758069,6817.266890014124,5299.60425104601,3974.690835388695,2968.1945943927326,4032.497495127557,7045.574584846244,9120.7509712513,6927.1586582530235,9774.366204850166,1186.0549824044806,81.21269682827804,9674.68946887759,1.0,1723091167.177169,0.054854293011813535,1417485.15,17,9,0.654,3,2
LAC,19.843464118831477,3.348843961717762,7.3963741566598635,0.40055835723024047,0.9189481896038132,2.7040683393636145,0.20399666054852233,1.347939748508506,1.7389488516257112,0.3874238116446193,1.0431260545139043,2.823271490554633,3.866397545068537,2.058719435123437,1.3192030255871283,0.7983067658910763,0.401554279490117,0.44321632893359725,1.538187342794449,1.5732049066168785,8.964575861547843,0.14968012946880266,18.972712178871696,0.06654613798307675,0.004331024943278868,18.208363122106018,1.0,3276.4503692392313,3276.4503692392313,3276.4503692392313,7920.757551070197,6964.442434139055,7354.712044271782,7085.8650240528195,5577.857128734231,6991.340710361373,5853.8597698966305,5271.732492843729,5470.079678822487,5019.761247158602,4482.504634716182,6689.829733901894,6702.5233607546315,6614.212723570498,4988.951471802253,4285.240620340523,3419.5727779501544,3136.1154101123147,4388.9363407675755,5959.836979492888,7454.587953222606,6507.985539386433,7801.242780838716,1084.8416975318898,75.45803228366805,7703.194934213709,1.0,1724850017.7039118,0.15135773363327482,1242523.0909090908,14,12,0.538,9,3
