TEAM_ID,SEASON_YEAR,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CONFERENCE,TEAM_DIVISION,TEAM_CODE,TEAM_SLUG,W,L,PCT,CONF_RANK,DIV_RANK,MIN_YEAR,MAX_YEAR,TeamName,Season
1610612737,2024-25,Atlanta,Hawks,ATL,East,Southeast,hawks,hawks,4,5,0.444,6,2,1949,2024,Atlanta Hawks,2024-25
1610612738,2024-25,Boston,Celtics,BOS,East,Atlantic,celtics,celtics,7,2,0.778,2,1,1946,2024,Boston Celtics,2024-25
1610612739,2024-25,Cleveland,Cavaliers,CLE,East,Central,cavaliers,cavaliers,9,0,1.0,1,1,1970,2024,Cleveland Cavaliers,2024-25
1610612740,2024-25,New Orleans,Pelicans,NOP,West,Southwest,pelicans,pelicans,3,6,0.333,14,5,2002,2024,New Orleans Pelicans,2024-25
1610612741,2024-25,Chicago,Bulls,CHI,East,Central,bulls,bulls,3,4,0.429,7,3,1966,2024,Chicago Bulls,2024-25
1610612742,2024-25,Dallas,Mavericks,DAL,West,Southwest,mavericks,mavericks,4,3,0.571,5,2,1980,2024,Dallas Mavericks,2024-25
1610612743,2024-25,Denver,Nuggets,DEN,West,Northwest,nuggets,nuggets,4,3,0.571,8,3,1976,2024,Denver Nuggets,2024-25
1610612744,2024-25,Golden State,Warriors,GSW,West,Pacific,warriors,warriors,7,1,0.875,2,1,1946,2024,Golden State Warriors,2024-25
1610612745,2024-25,Houston,Rockets,HOU,West,Southwest,rockets,rockets,5,3,0.625,4,1,1967,2024,Houston Rockets,2024-25
1610612746,2024-25,LA,Clippers,LAC,West,Pacific,clippers,clippers,3,4,0.429,11,5,1970,2024,Los Angeles Clippers,2024-25
1610612747,2024-25,Los Angeles,Lakers,LAL,West,Pacific,lakers,lakers,4,4,0.5,10,4,1948,2024,Los Angeles Lakers,2024-25
1610612748,2024-25,Miami,Heat,MIA,East,Southeast,heat,heat,3,3,0.5,3,1,1988,2024,Miami Heat,2024-25
1610612749,2024-25,Milwaukee,Bucks,MIL,East,Central,bucks,bucks,1,6,0.143,15,5,1968,2024,Milwaukee Bucks,2024-25
1610612750,2024-25,Minnesota,Timberwolves,MIN,West,Northwest,timberwolves,timberwolves,4,3,0.571,6,2,1989,2024,Minnesota Timberwolves,2024-25
1610612751,2024-25,Brooklyn,Nets,BKN,East,Atlantic,nets,nets,4,4,0.5,5,2,1976,2024,Brooklyn Nets,2024-25
1610612752,2024-25,New York,Knicks,NYK,East,Atlantic,knicks,knicks,3,4,0.429,8,3,1946,2024,New York Knicks,2024-25
1610612753,2024-25,Orlando,Magic,ORL,East,Southeast,magic,magic,3,6,0.333,10,4,1989,2024,Orlando Magic,2024-25
1610612754,2024-25,Indiana,Pacers,IND,East,Central,pacers,pacers,4,4,0.5,4,2,1976,2024,Indiana Pacers,2024-25
1610612755,2024-25,Philadelphia,76ers,PHI,East,Atlantic,sixers,sixers,1,5,0.167,14,5,1949,2024,Philadelphia 76ers,2024-25
1610612756,2024-25,Phoenix,Suns,PHX,West,Pacific,suns,suns,6,1,0.857,3,2,1968,2024,Phoenix Suns,2024-25
1610612757,2024-25,Portland,Trail Blazers,POR,West,Northwest,blazers,blazers,3,5,0.375,13,4,1970,2024,Portland Trail Blazers,2024-25
1610612758,2024-25,Sacramento,Kings,SAC,West,Pacific,kings,kings,4,3,0.571,7,3,1948,2024,Sacramento Kings,2024-25
1610612759,2024-25,San Antonio,Spurs,SAS,West,Southwest,spurs,spurs,3,5,0.375,12,4,1976,2024,San Antonio Spurs,2024-25
1610612760,2024-25,Oklahoma City,Thunder,OKC,West,Northwest,thunder,thunder,7,0,1.0,1,1,1967,2024,Oklahoma City Thunder,2024-25
1610612761,2024-25,Toronto,Raptors,TOR,East,Atlantic,raptors,raptors,2,6,0.25,13,4,1995,2024,Toronto Raptors,2024-25
1610612762,2024-25,Utah,Jazz,UTA,West,Northwest,jazz,jazz,1,6,0.143,15,5,1974,2024,Utah Jazz,2024-25
1610612763,2024-25,Memphis,Grizzlies,MEM,West,Southwest,grizzlies,grizzlies,5,4,0.556,9,3,1995,2024,Memphis Grizzlies,2024-25
1610612764,2024-25,Washington,Wizards,WAS,East,Southeast,wizards,wizards,2,4,0.333,11,5,1961,2024,Washington Wizards,2024-25
1610612765,2024-25,Detroit,Pistons,DET,East,Central,pistons,pistons,3,6,0.333,12,4,1948,2024,Detroit Pistons,2024-25
1610612766,2024-25,Charlotte,Hornets,CHA,East,Southeast,hornets,hornets,3,5,0.375,9,3,1988,2024,Charlotte Hornets,2024-25
