TEAM_ID,SEASON_YEAR,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CONFERENCE,TEAM_DIVISION,TEAM_CODE,TEAM_SLUG,W,L,PCT,CONF_RANK,DIV_RANK,MIN_YEAR,MAX_YEAR,TeamName
1610612737,2024-25,Atlanta,Hawks,ATL,East,Southeast,hawks,hawks,2,2,0.5,6,3,1949,2024,Atlanta Hawks
1610612738,2024-25,Boston,Celtics,BOS,East,Atlantic,celtics,celtics,4,0,1.0,2,1,1946,2024,Boston Celtics
1610612739,2024-25,Cleveland,Cavaliers,CLE,East,Central,cavaliers,cavaliers,4,0,1.0,1,1,1970,2024,Cleveland Cavaliers
1610612740,2024-25,New Orleans,Pelicans,NOP,West,Southwest,pelicans,pelicans,2,2,0.5,11,4,2002,2024,New Orleans Pelicans
1610612741,2024-25,Chicago,Bulls,CHI,East,Central,bulls,bulls,2,2,0.5,5,2,1966,2024,Chicago Bulls
1610612742,2024-25,Dallas,Mavericks,DAL,West,Southwest,mavericks,mavericks,3,1,0.75,3,1,1980,2024,Dallas Mavericks
1610612743,2024-25,Denver,Nuggets,DEN,West,Northwest,nuggets,nuggets,2,2,0.5,12,2,1976,2024,Denver Nuggets
1610612744,2024-25,Golden State,Warriors,GSW,West,Pacific,warriors,warriors,3,1,0.75,5,3,1946,2024,Golden State Warriors
1610612745,2024-25,Houston,Rockets,HOU,West,Southwest,rockets,rockets,2,2,0.5,7,2,1967,2024,Houston Rockets
1610612746,2024-25,LA,Clippers,LAC,West,Pacific,clippers,clippers,2,1,0.667,6,4,1970,2024,Los Angeles Clippers
1610612747,2024-25,Los Angeles,Lakers,LAL,West,Pacific,lakers,lakers,3,1,0.75,2,1,1948,2024,Los Angeles Lakers
1610612748,2024-25,Miami,Heat,MIA,East,Southeast,heat,heat,2,1,0.667,4,2,1988,2024,Miami Heat
1610612749,2024-25,Milwaukee,Bucks,MIL,East,Central,bucks,bucks,1,3,0.25,12,4,1968,2024,Milwaukee Bucks
1610612750,2024-25,Minnesota,Timberwolves,MIN,West,Northwest,timberwolves,timberwolves,2,2,0.5,8,3,1989,2024,Minnesota Timberwolves
1610612751,2024-25,Brooklyn,Nets,BKN,East,Atlantic,nets,nets,1,3,0.25,11,5,1976,2024,Brooklyn Nets
1610612752,2024-25,New York,Knicks,NYK,East,Atlantic,knicks,knicks,1,2,0.333,8,2,1946,2024,New York Knicks
1610612753,2024-25,Orlando,Magic,ORL,East,Southeast,magic,magic,3,1,0.75,3,1,1989,2024,Orlando Magic
1610612754,2024-25,Indiana,Pacers,IND,East,Central,pacers,pacers,1,3,0.25,14,3,1976,2024,Indiana Pacers
1610612755,2024-25,Philadelphia,76ers,PHI,East,Atlantic,sixers,sixers,1,2,0.333,9,3,1949,2024,Philadelphia 76ers
1610612756,2024-25,Phoenix,Suns,PHX,West,Pacific,suns,suns,3,1,0.75,4,2,1968,2024,Phoenix Suns
1610612757,2024-25,Portland,Trail Blazers,POR,West,Northwest,blazers,blazers,1,3,0.25,14,4,1970,2024,Portland Trail Blazers
1610612758,2024-25,Sacramento,Kings,SAC,West,Pacific,kings,kings,2,2,0.5,10,5,1948,2024,Sacramento Kings
1610612759,2024-25,San Antonio,Spurs,SAS,West,Southwest,spurs,spurs,1,2,0.333,13,5,1976,2024,San Antonio Spurs
1610612760,2024-25,Oklahoma City,Thunder,OKC,West,Northwest,thunder,thunder,3,0,1.0,1,1,1967,2024,Oklahoma City Thunder
1610612761,2024-25,Toronto,Raptors,TOR,East,Atlantic,raptors,raptors,1,3,0.25,13,4,1995,2024,Toronto Raptors
1610612762,2024-25,Utah,Jazz,UTA,West,Northwest,jazz,jazz,0,4,0.0,15,5,1974,2024,Utah Jazz
1610612763,2024-25,Memphis,Grizzlies,MEM,West,Southwest,grizzlies,grizzlies,2,2,0.5,9,3,1995,2024,Memphis Grizzlies
1610612764,2024-25,Washington,Wizards,WAS,East,Southeast,wizards,wizards,1,2,0.333,7,4,1961,2024,Washington Wizards
1610612765,2024-25,Detroit,Pistons,DET,East,Central,pistons,pistons,0,4,0.0,15,5,1948,2024,Detroit Pistons
1610612766,2024-25,Charlotte,Hornets,CHA,East,Southeast,hornets,hornets,1,2,0.333,10,5,1988,2024,Charlotte Hornets
