SEASON_YEAR,TEAM_ID,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM1,TEAM2
2023,1610612756,2023-10-24,1,48.0,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,19.0,5,7,6,22,23,108,4.0,1,1,1,1,119,1142,383,1786,1521,1419,1535,1740,1759,1447,106,66,15,1776,2204,1865,450,1459,1866,304,1635,1003,PHX,GSW
2023,1610612747,2023-10-24,0,48.0,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,12.0,5,4,6,18,15,107,-12.0,1,1231,1231,1231,119,1333,977,1573,1784,1972,1442,1440,1353,1546,507,1458,1055,1776,760,1865,1367,1459,968,1915,1697,1915,LAL,DEN
2023,1610612744,2023-10-24,0,48.0,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11.0,11,6,7,23,22,104,-4.0,1,1231,1231,1231,119,2105,106,2427,1784,264,2326,417,408,1262,67,1458,436,2294,530,205,690,1772,2030,432,1906,1402,GSW,PHX
2023,1610612743,2023-10-24,1,48.0,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,12.0,9,6,4,15,18,119,12.0,1,1,1,1,119,315,840,417,762,1272,669,2243,2256,1546,1420,1093,1348,678,760,553,690,710,381,1254,837,485,DEN,LAL
2023,1610612760,2023-10-25,1,48.0,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,16.0,6,4,3,19,16,124,20.0,1,1,1,1,119,652,2010,223,128,599,164,1440,1623,759,2271,405,1199,535,1720,1516,1367,382,1208,1725,524,219,OKC,CHI
2023,1610612738,2023-10-25,1,48.0,37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,13.0,6,11,0,22,22,108,4.0,1,1,1,1,119,1973,2340,1132,1249,599,1855,417,580,656,1904,302,777,2359,991,1516,35,1,1866,432,1635,1003,BOS,NYK
2023,1610612762,2023-10-25,0,48.0,41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,14.0,6,2,8,20,25,114,-16.0,1,1231,1231,1231,119,1333,840,1650,1985,2097,1723,333,232,1655,159,405,140,1932,1228,1516,2080,2012,1442,125,1172,2096,UTA,SAC
2023,1610612761,2023-10-25,1,48.0,36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,14.0,9,11,9,18,14,97,3.0,1,1,1,1,119,2105,977,2226,762,1116,777,2024,1867,2038,1669,302,645,1031,1228,553,35,2195,968,2081,2222,1060,TOR,MIN
2023,1610612754,2023-10-25,1,48.0,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,12.0,10,8,9,23,11,143,23.0,1,1,1,1,119,9,22,457,78,264,297,2024,2256,201,1170,151,273,31,760,351,267,2195,2030,2384,42,154,IND,WAS
2023,1610612737,2023-10-25,0,48.0,39,93,0.419,5,29,0.172,27,33,0.818,12,30,42,24,12.0,12,1,3,19,21,110,-6.0,1,1231,1231,1231,119,1670,599,2077,2419,1972,2436,115,138,913,703,1646,1348,1586,760,109,2322,382,1208,596,1485,1518,ATL,CHA
2023,1610612745,2023-10-25,0,48.0,32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,19.0,6,3,6,24,20,86,-30.0,1,1231,1231,1231,119,2387,2270,2189,1249,1272,1354,2134,1867,2294,1904,2337,2383,2294,2204,1516,1752,1459,2158,790,2430,2384,HOU,ORL
2023,1610612746,2023-10-25,1,48.0,47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,18.0,11,7,4,20,20,123,12.0,1,1,1,1,119,399,977,474,405,1272,264,1740,1867,983,386,1458,909,85,2077,205,450,710,1442,790,583,485,LAC,POR
2023,1610612741,2023-10-25,0,48.0,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,13.0,10,3,4,16,19,104,-20.0,1,1231,1231,1231,119,1670,480,2121,1249,325,2036,1603,1623,1318,507,1817,1348,1241,991,351,1752,710,547,1020,1906,2226,CHI,OKC
2023,1610612766,2023-10-25,1,48.0,43,86,0.5,11,37,0.297,19,26,0.731,12,39,51,34,19.0,5,3,1,21,19,116,6.0,1,1,1,1,119,961,1552,757,1521,851,1947,784,580,1760,703,302,273,180,2204,1865,1752,25,1672,1020,1044,870,CHA,ATL
2023,1610612753,2023-10-25,1,48.0,42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,16.0,8,6,3,20,24,116,30.0,1,1,1,1,119,1142,1401,1081,1985,1272,2183,333,580,371,106,228,52,2294,1720,839,690,382,1442,195,1044,73,ORL,HOU
2023,1610612765,2023-10-25,0,48.0,41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,17.0,3,13,3,23,18,102,-1.0,1,1231,1231,1231,119,1333,710,1730,1521,1560,1460,2243,1992,2339,106,302,78,852,1920,2282,7,382,2030,1254,2023,1231,DET,MIA
2023,1610612750,2023-10-25,0,48.0,34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,14.0,8,9,11,14,18,94,-3.0,1,1231,1231,1231,119,2293,141,2450,2148,1700,2212,926,1054,913,159,21,9,2188,1228,839,150,2387,250,1254,2319,1340,MIN,TOR
